"","Tag","Quad"
"446",32301,325
"447",32304,325
"448",32333,326
"449",32342,326
"450",32352,326
"451",32368,327
"452",32406,328
"453",32429,329
"454",32433,329
"455",32458,330
"456",32475,330
"457",32488,331
"458",32516,332
"459",32518,332
"460",32534,332
"461",32543,332
"462",32558,309
"463",33091,302
"464",33110,301
"465",33248,303
"466",33255,303
"467",33298,308
"468",40010,401
"469",40062,401
"470",40568,406
"471",40656,409
"472",40660,409
"473",40748,410
"474",40854,411
"475",40892,413
"476",40948,414
"477",41025,416
"478",42006,417
"479",42018,417
"480",42020,417
"481",42023,417
"482",42067,419
"483",42092,420
"484",42093,420
"485",42100,420
"486",42115,420
"487",42119,421
"488",42260,424
"489",42308,425
"490",42309,425
"491",42325,426
"492",42363,427
"493",42369,427
"494",42384,427
"495",42508,429
"496",42512,429
"497",42514,429
"498",42535,430
"499",42543,430
"500",42570,431
"501",42596,432
"502",42601,432
"503",43016,401
"504",43135,403
"505",43577,416
"506",50012,501
"507",50163,502
"508",50168,502
"509",50184,504
"510",50192,504
"511",50205,502
"512",50500,511
"513",50513,511
"514",50524,512
"515",50532,512
"516",50556,513
"517",50564,514
"518",50610,512
"519",50646,514
"520",50684,516
"521",52010,517
"522",52012,517
"523",52023,517
"524",52364,529
"525",52403,530
"526",52404,530
"527",52434,531
"528",52435,531
"529",53002,501
"530",53005,501
"531",53043,501
"532",53234,501
"533",53353,509
"534",60076,604
"535",60116,606
"536",60180,609
"537",60207,601
"538",60343,607
"539",60401,610
"540",60419,611
"541",60437,613
"542",60450,614
"543",60458,614
"544",60467,615
"545",60486,616
"546",60489,616
"547",62019,617
"548",62143,620
"549",62283,624
"550",62293,625
"551",62339,627
"552",62401,629
"553",62404,630
"554",62422,630
"555",62442,631
"556",63094,610
"557",70160,706
"558",70265,703
"559",70356,707
"560",70415,709
"561",70436,710
"562",70456,712
"563",70458,712
"564",70459,712
"565",70483,713
"566",70531,711
"567",70625,716
"568",70632,713
"569",70822,702
"570",72006,717
"571",72055,717
"572",72090,718
"573",72094,718
"574",72260,723
"575",72296,725
"576",72298,725
"577",72447,732
"578",80028,802
"579",80036,802
"580",80038,802
"581",80066,803
"582",80301,804
"583",80324,806
"584",80345,807
"585",80393,807
"586",80456,808
"587",80522,813
"588",80526,813
"589",80554,813
"590",80569,815
"591",80576,815
"592",80711,810
"593",80742,812
"594",80745,812
"595",80758,814
"596",80759,814
"597",80772,816
"598",81002,814
"599",82019,817
"600",82056,818
"601",82106,819
"602",82107,819
"603",82165,821
"604",82179,821
"605",82305,826
"606",82320,827
"607",82379,829
"608",83046,804
"609",90062,902
"610",90102,902
"611",90121,903
"612",90145,904
"613",90205,901
"614",90418,904
"615",90439,905
"616",90476,905
"617",90511,909
"618",90514,909
"619",90515,910
"620",90540,911
"621",90546,911
"622",90612,910
"623",90758,916
"624",91302,906
"625",91374,908
"626",91451,907
"627",91474,908
"628",92127,920
"629",92128,920
"630",92146,920
"631",92169,920
"632",92211,922
"633",92368,924
"634",92440,926
"635",92520,930
"636",93011,901
"637",93064,903
"638",93067,904
"639",93104,902
"640",93125,902
"641",93318,909
"642",93597,903
"643",13334,102
"644",33424,320
"645",80092,804
"646",100425,1002
"647",120372,1202
"648",152096,1519
"649",180551,1803
"650",193117,1901
