"tag","StemTag","quadrat","sp","lx","ly","dbh_current","status_current"
42601,1,"0432","litu",12.4,13.7,613,"LI"
43577,1,"0416","libe",16.9,13.7,22,"LI"
50500,1,"0511","caca",7.5,15.4,46,"LI"
50513,1,"0511","caca",4.9,9.1,108,"LI"
50524,1,"0512","caca",9.6,1.2,55,"LI"
50532,1,"0512","caca",4.1,15.4,0,"DS"
50556,1,"0513","fagr",7.4,18.2,205,"LI"
50564,1,"0514","fagr",2.6,15.7,266,"LI"
50610,1,"0512","libe",17.8,7.3,0,"DN"
50684,1,"0516","litu",17.7,11.6,548,"LI"
52010,1,"0517","fagr",9.9,5.7,253,"LI"
52012,1,"0517","fagr",7.6,9.7,309,"LI"
52023,1,"0517","litu",18.3,19.3,335,"LI"
52024,1,"0517","tiam",17.9,19.2,0,"DN"
52224,1,"0523","acru",14.5,12.2,55,"LI"
52364,1,"0529","cato",1,6.7,86,"LI"
52403,1,"0530","quve",6.6,17.7,815,"LI"
52404,1,"0530","ulru",6.3,16.6,62,"LI"
52434,1,"0531","litu",7.4,19.6,676,"LI"
52435,1,"0531","cagl",7.5,20,82,"LI"
60419,1,"0611","qual",1,1.5,277,"LI"
60437,1,"0613","quru",4.3,5.9,607,"LI"
60450,1,"0614","litu",6.5,4.9,701,"LI"
60458,1,"0615","fagr",1.9,0,313,"LI"
60467,1,"0615","fagr",1.2,14.7,265,"LI"
60486,1,"0616","fagr",6,15.7,220,"LI"
60489,1,"0616","cato",13.8,20,68,"LI"
62019,1,"0617","quru",19,9.8,823,"LI"
62143,1,"0620","cato",16.4,16.1,89,"LI"
62247,1,"0623","cato",18.2,11,610,"LI"
62248,1,"0623","litu",20,18.6,253,"LI"
62283,1,"0624","fagr",9.2,13,122,"LI"
62297,1,"0625","litu",16.8,10.8,638,"LI"
62303,1,"0625","quve",2.9,10.3,693,"LI"
62401,1,"0629","litu",0.1,11.1,565,"LI"
62404,1,"0630","quru",8.9,7.5,409,"LI"
62422,1,"0630","litu",3.5,19.6,539,"LI"
62426,1,"0631","litu",5.5,8.3,162,"LI"
62427,1,"0631","litu",4.9,9.8,380,"LI"
62442,1,"0631","litu",7.1,11.2,122,"LI"
33424,2,"0320","astr",NA,NA,10,"LI"
